,Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
0,Atlanta Hawks,NBA,1949-50,2023-24,75,5900,2909,2991,0.493,49,12,0,1
5,Boston Celtics,NBA/BAA,1946-47,2023-24,78,6078,3605,2473,0.593,60,33,10,17
6,Brooklyn Nets,NBA/ABA,1967-68,2023-24,57,4575,2014,2561,0.44,31,5,2,2
12,Charlotte Hornets,NBA,1988-89,2023-24,34,2675,1163,1512,0.435,10,0,0,0
16,Chicago Bulls,NBA,1966-67,2023-24,58,4644,2365,2279,0.509,37,9,6,6
17,Cleveland Cavaliers,NBA,1970-71,2023-24,54,4314,2011,2303,0.466,23,7,5,1
18,Dallas Mavericks,NBA,1980-81,2023-24,44,3507,1772,1735,0.505,24,4,2,1
19,Denver Nuggets,NBA/ABA,1967-68,2023-24,57,4578,2342,2236,0.512,38,13,1,1
23,Detroit Pistons,NBA/BAA,1948-49,2023-24,76,5961,2818,3143,0.473,42,11,5,3
26,Golden State Warriors,NBA/BAA,1946-47,2023-24,78,6064,2942,3122,0.485,37,12,7,7
30,Houston Rockets,NBA,1967-68,2023-24,57,4569,2349,2220,0.514,34,8,4,2
33,Indiana Pacers,NBA/ABA,1967-68,2023-24,57,4576,2336,2240,0.51,36,9,1,3
36,Los Angeles Clippers,NBA,1970-71,2023-24,54,4322,1822,2500,0.422,17,2,0,0
40,Los Angeles Lakers,NBA/BAA,1948-49,2023-24,76,5969,3527,2442,0.591,63,33,19,17
43,Memphis Grizzlies,NBA,1995-96,2023-24,29,2274,989,1285,0.435,13,2,0,0
46,Miami Heat,NBA,1988-89,2023-24,36,2849,1499,1350,0.526,24,16,7,3
47,Milwaukee Bucks,NBA,1968-69,2023-24,56,4489,2372,2117,0.528,35,18,3,2
48,Minnesota Timberwolves,NBA,1989-90,2023-24,35,2758,1123,1635,0.407,11,1,0,0
49,New Orleans Pelicans,NBA,2002-03,2023-24,22,1732,808,924,0.467,9,1,0,0
53,New York Knicks,NBA/BAA,1946-47,2023-24,78,6069,2953,3116,0.487,44,8,4,2
54,Oklahoma City Thunder,NBA,1967-68,2023-24,57,4569,2445,2124,0.535,33,11,4,1
57,Orlando Magic,NBA,1989-90,2023-24,35,2766,1291,1475,0.467,16,6,2,0
58,Philadelphia 76ers,NBA,1949-50,2023-24,75,5903,3083,2820,0.522,53,12,5,3
61,Phoenix Suns,NBA,1968-69,2023-24,56,4488,2406,2082,0.536,32,8,3,0
62,Portland Trail Blazers,NBA,1970-71,2023-24,54,4325,2284,2041,0.528,37,6,3,1
63,Sacramento Kings,NBA/BAA,1948-49,2023-24,76,5967,2728,3239,0.457,30,6,0,1
69,San Antonio Spurs,NBA/ABA,1967-68,2023-24,57,4575,2671,1904,0.584,47,22,6,5
74,Toronto Raptors,NBA,1995-96,2023-24,29,2273,1087,1186,0.478,14,7,1,1
75,Utah Jazz,NBA,1974-75,2023-24,50,3997,2170,1827,0.543,31,11,2,0
78,Washington Wizards,NBA,1961-62,2023-24,63,5050,2265,2785,0.449,30,8,4,1
